host_type,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,price
female,2010-02-12,within a day,100%,t,1.0,t,West Campus,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,$10.00,2,1125,0,17,47,47,32,97.0,10.0,10.0,10.0,10.0,9.0,9.0,f,flexible,1,0.86,220
mostly_female,2010-02-24,within an hour,100%,f,2.0,t,Balcones Civic Association,Condominium,Entire home/apt,4,2.5,2.0,2.0,Real Bed,$38.00,30,365,0,0,5,280,9,98.0,10.0,9.0,10.0,10.0,10.0,10.0,t,strict_14_with_grace_period,1,0.08,155
male,2009-11-22,within an hour,100%,t,1.0,t,East Riverside,Guesthouse,Entire home/apt,2,1.0,1.0,2.0,Real Bed,$0.00,31,365,0,6,36,311,35,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,0.32,50
female,2010-03-06,within an hour,100%,t,1.0,f,Clarksville,Guest suite,Entire home/apt,6,1.0,2.0,3.0,Real Bed,$25.00,2,730,11,20,30,283,120,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,1.1,95
female,2010-04-03,within a day,100%,t,1.0,t,Brentwood,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$100.00,30,365,1,10,40,315,31,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,1,0.29,90
female,2010-06-07,,,f,1.0,f,Cherry Creek,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,$0.00,1,7,0,0,0,66,9,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.09,55
mostly_male,2010-07-08,within an hour,100%,f,1.0,t,Scofield Ridge,House,Private room,1,1.0,1.0,1.0,Real Bed,$10.00,2,730,0,17,36,233,28,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,0.61,35
female,2010-07-15,within an hour,100%,t,3.0,t,Bouldin Creek,Apartment,Entire home/apt,3,1.0,2.0,3.0,Real Bed,$30.00,3,10,9,9,9,143,181,94.0,9.0,9.0,10.0,10.0,10.0,9.0,t,strict_14_with_grace_period,3,1.75,160
mostly_male,2010-07-17,within a few hours,100%,f,2.0,t,Cherry Creek,House,Private room,2,1.5,1.0,1.0,Real Bed,$0.00,3,16,29,59,89,364,83,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,0.85,90
couple,2010-08-24,within an hour,100%,t,2.0,t,Tarrytown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,2,14,13,36,58,238,99,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,1.63,60
male,2010-07-18,within an hour,100%,f,1.0,f,Northwest Hills,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$10.00,2,30,29,59,89,364,28,98.0,10.0,10.0,10.0,10.0,10.0,9.0,f,flexible,1,0.29,350
couple,2010-08-24,within an hour,100%,t,2.0,t,Tarrytown,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$20.00,2,31,11,24,54,329,336,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,3.29,105
female,2010-08-28,within a few hours,100%,f,1.0,t,,House,Private room,1,1.0,1.0,1.0,Real Bed,$50.00,3,180,0,16,46,321,0,,,,,,,,t,moderate,1,,50
unknown,2010-09-10,within a day,100%,t,2.0,t,McKinney,Guest suite,Entire home/apt,3,1.0,1.0,2.0,Futon,$10.00,3,30,3,19,42,284,226,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,2.21,40
male,2009-04-06,within an hour,100%,t,2.0,t,University of Texas,Condominium,Entire home/apt,2,1.0,2.0,3.0,Real Bed,$0.00,5,35,11,11,23,298,27,97.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,0.26,100
female,2010-09-10,,,f,1.0,f,Clarksville,Guesthouse,Entire home/apt,2,1.0,0.0,2.0,Real Bed,$100.00,7,365,30,60,90,365,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.03,300
female,2010-09-15,within a day,100%,f,1.0,t,Clarksville,Townhouse,Entire home/apt,6,2.5,3.0,3.0,Real Bed,$0.00,3,1125,17,47,77,352,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,t,strict_14_with_grace_period,1,0.01,500
male,2010-09-15,within an hour,100%,f,1.0,f,Old West Austin,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$10.00,4,28,0,0,0,66,41,92.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1,0.44,350
female,2010-10-23,within an hour,100%,f,2.0,t,Travis Heights,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$50.00,2,30,12,37,67,67,151,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,1.55,150
female,2010-10-27,within an hour,100%,t,2.0,t,Zilker,Guesthouse,Entire home/apt,6,1.0,1.0,3.0,Futon,$10.00,1,15,18,37,65,339,539,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,5.41,100
female,2010-11-28,within a day,50%,f,1.0,f,Tarrytown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$50.00,3,270,27,57,87,362,0,,,,,,,,f,strict_14_with_grace_period,1,,250
male,2011-01-06,within an hour,100%,t,1.0,t,Hyde Park,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$25.00,2,30,2,13,25,110,405,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,1,4.09,90
female,2010-10-27,within an hour,100%,t,2.0,t,Barton Hills,Condominium,Entire home/apt,4,1.5,1.0,1.0,Real Bed,$10.00,2,90,4,16,38,313,58,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,strict_14_with_grace_period,2,0.61,145
company,2011-01-14,within a few hours,100%,f,2.0,f,Zilker,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$10.00,2,45,0,0,0,127,390,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,3.94,90
unknown,2010-02-18,within an hour,100%,t,1.0,t,Dawson,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$20.00,2,730,5,15,32,286,381,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,3.9,110
male,2011-01-20,within an hour,80%,f,1.0,f,Galindo,Guesthouse,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$0.00,1,14,27,57,86,176,18,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,flexible,1,1.0,150
female,2011-01-23,within an hour,100%,f,2.0,f,Upper Boggy Creek,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,2,31,21,51,81,356,209,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,2,2.13,110
female,2010-10-23,within an hour,100%,f,2.0,t,Travis Heights,Guesthouse,Entire home/apt,3,1.0,1.0,3.0,Real Bed,$50.00,2,30,11,37,67,67,125,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,1.29,150
couple,2011-02-02,within a few hours,100%,f,2.0,t,Barton Hills,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,3,300,17,47,77,77,38,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,2,0.39,125
female,2011-02-04,within a few hours,100%,f,1.0,f,Bouldin Creek,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$50.00,2,14,9,9,14,289,37,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.38,470
female,2011-02-05,within an hour,100%,f,2.0,f,Bouldin Creek,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,$25.00,2,365,9,24,54,321,232,94.0,10.0,9.0,10.0,10.0,10.0,9.0,t,strict_14_with_grace_period,2,2.39,145
female,2011-02-05,within an hour,100%,t,1.0,t,Rosedale,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,3,21,8,13,37,118,298,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,1,3.06,85
female,2010-05-20,within a day,100%,f,1.0,t,Angus Valley,Townhouse,Entire home/apt,6,2.5,2.0,3.0,Real Bed,$50.00,2,120,0,2,2,67,21,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,1,0.22,230
female,2011-02-08,within a few hours,100%,t,2.0,t,University of Texas,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$0.00,30,90,13,43,73,348,38,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,0.39,105
male,2011-02-11,,,f,1.0,t,Cherry Creek,House,Private room,3,2.0,2.0,2.0,Real Bed,$0.00,10,730,0,0,0,0,26,93.0,9.0,9.0,10.0,10.0,9.0,9.0,t,flexible,1,0.28,65
couple,2011-02-11,within a day,67%,f,1.0,f,South Lamar,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,2,1825,25,55,85,357,182,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,1.88,90
female,2011-02-15,,,t,1.0,t,East Downtown,Bungalow,Private room,4,1.0,1.0,1.0,Real Bed,$14.00,2,60,0,0,0,209,87,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,1,1.32,75
male,2011-02-15,within an hour,100%,f,2.0,f,South Lamar,House,Private room,4,1.5,1.0,2.0,Real Bed,$0.00,1,90,17,36,52,302,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,flexible,2,0.05,75
mostly_male,2011-02-16,within an hour,100%,f,1.0,f,Govalle,House,Entire home/apt,7,2.5,3.0,3.0,Real Bed,$0.00,2,30,20,22,22,272,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.04,295
male,2011-02-15,within an hour,100%,t,2.0,t,East Downtown,Condominium,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$15.00,2,120,2,12,23,237,234,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,2,2.41,130
mostly_female,2011-02-22,within a few hours,100%,t,1.0,t,Tarrytown,Guesthouse,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$15.00,2,14,4,22,48,323,250,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,2.57,115
female,2011-02-23,within an hour,100%,t,1.0,t,South Manchaca,Guest suite,Private room,2,1.0,2.0,2.0,Real Bed,$0.00,1,7,11,37,67,67,126,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,1.3,45
female,2011-02-24,within an hour,100%,f,1.0,t,Hyde Park,House,Entire home/apt,8,4.0,4.0,4.0,Real Bed,$0.00,3,1125,30,60,90,365,4,100.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1,0.04,850
mostly_female,2010-07-22,within an hour,100%,t,2.0,t,Old West Austin,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$25.00,2,14,11,34,58,333,163,97.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,2,1.68,150
couple,2011-02-24,within a few hours,100%,t,1.0,t,Upper Boggy Creek,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$20.00,2,365,3,14,40,301,145,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,1.48,125
male,2011-02-15,within an hour,100%,t,1.0,t,East Downtown,House,Entire home/apt,10,3.0,5.0,10.0,Real Bed,$75.00,2,30,14,28,43,313,104,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,1,2.19,820
mostly_female,2011-02-26,within a few hours,100%,f,1.0,t,East Downtown,House,Entire home/apt,8,2.0,3.0,5.0,Real Bed,$0.00,2,8,21,51,79,354,14,99.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1,0.14,400
female,2012-01-28,within an hour,100%,f,1.0,t,Travis Heights,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,20,360,7,22,37,281,31,97.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.32,70
mostly_female,2011-02-08,within a few hours,100%,f,6.0,t,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,2,14,30,60,90,365,0,,,,,,,,t,flexible,2,,95
male,2011-03-01,within a few hours,100%,f,2.0,t,Zilker,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,$0.00,3,730,19,49,79,354,12,86.0,9.0,8.0,9.0,9.0,10.0,10.0,t,strict_14_with_grace_period,2,0.15,195
male,2011-03-01,within a few hours,100%,f,2.0,t,Zilker,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,$0.00,3,730,27,57,87,362,14,96.0,9.0,9.0,10.0,10.0,10.0,10.0,t,strict_14_with_grace_period,2,0.26,245
couple,2011-03-02,within a few hours,100%,t,1.0,t,Zilker,House,Entire home/apt,6,3.0,4.0,4.0,Real Bed,$0.00,3,60,6,18,45,129,54,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,2.21,750
female,2011-03-02,a few days or more,40%,f,3.0,t,Downtown,House,Entire home/apt,6,1.0,3.0,4.0,Real Bed,$0.00,3,60,30,60,90,90,4,93.0,10.0,10.0,10.0,10.0,9.0,9.0,t,strict_14_with_grace_period,3,0.04,405
unknown,2011-03-03,within a day,100%,f,1.0,f,Govalle,House,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,1,10,0,0,5,5,1,60.0,10.0,8.0,10.0,10.0,6.0,8.0,f,moderate,1,0.01,50
female,2011-03-04,within an hour,100%,f,3.0,f,East Downtown,House,Entire home/apt,6,2.0,2.0,2.0,Real Bed,$35.00,2,300,10,19,30,273,85,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,3,1.02,175
mostly_male,2011-03-04,within an hour,100%,t,1.0,t,East Downtown,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,2,14,4,16,42,98,139,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,1.64,85
female,2011-03-04,within an hour,100%,t,2.0,t,Downtown,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$25.00,30,365,27,57,87,87,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,0.06,210
couple,2011-02-02,within a few hours,100%,f,2.0,t,Barton Hills,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,2,365,19,49,79,352,73,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,0.75,80
male,2011-03-05,within an hour,100%,t,1.0,t,Hyde Park,Guest suite,Entire home/apt,3,1.5,1.0,1.0,Real Bed,$10.00,2,14,21,49,79,169,301,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,3.09,110
female,2011-03-05,within an hour,100%,f,1.0,f,Barton Hills,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,2,90,6,25,53,230,98,95.0,10.0,10.0,10.0,10.0,10.0,10.0,t,strict_14_with_grace_period,1,1.01,90
male,2011-03-05,within an hour,100%,t,1.0,t,Zilker,Guesthouse,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$0.00,2,14,3,6,28,28,211,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,2.17,90
female,2011-03-05,,,f,1.0,t,South Lamar,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$100.00,1,150,29,59,89,364,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.04,400
male,2011-03-05,within an hour,100%,t,1.0,t,Galindo,Apartment,Entire home/apt,2,1.0,1.0,1.0,Futon,$0.00,1,7,12,31,61,336,393,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,4.05,85
female,2011-03-05,,,f,1.0,f,Allendale,House,Entire home/apt,5,2.5,3.0,4.0,Real Bed,$0.00,2,14,6,6,11,128,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.05,500
male,2011-03-06,within an hour,100%,f,11.0,t,Windsor Park,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$10.00,3,365,25,55,85,175,17,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,7,0.23,100
unknown,2011-03-07,within a day,100%,f,1.0,t,Clarksville,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$25.00,30,45,0,6,9,39,52,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.53,120
mostly_male,2011-03-08,within an hour,100%,t,2.0,t,East Downtown,Bungalow,Entire home/apt,4,1.0,2.0,3.0,Real Bed,$100.00,4,30,7,7,7,7,33,94.0,9.0,9.0,10.0,10.0,9.0,9.0,t,strict_14_with_grace_period,2,0.37,225
male,2011-03-07,,,f,1.0,f,Upper Boggy Creek,House,Private room,8,2.0,4.0,6.0,Real Bed,$0.00,5,14,30,60,90,365,4,60.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,1,0.04,600
mostly_female,2011-03-09,within an hour,100%,f,1.0,f,Sunset Valley,House,Private room,2,1.0,1.0,1.0,Real Bed,$15.00,1,30,8,38,63,156,23,98.0,10.0,9.0,10.0,10.0,9.0,10.0,t,moderate,1,0.24,40
male,2011-03-10,within a day,100%,f,1.0,t,Cherry Creek,House,Entire home/apt,5,2.0,3.0,5.0,Real Bed,$45.00,3,65,14,14,19,19,7,91.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1,0.08,100
male,2011-03-11,within a day,100%,f,1.0,f,West Austin,Bungalow,Entire home/apt,5,2.0,3.0,3.0,Real Bed,$0.00,4,1125,30,60,90,365,0,,,,,,,,f,strict_14_with_grace_period,1,,500
mostly_female,2011-03-16,,,f,1.0,f,Windsor Park,House,Entire home/apt,9,2.0,2.0,4.0,Real Bed,$10.00,2,730,9,9,13,13,4,65.0,7.0,8.0,10.0,9.0,10.0,8.0,t,strict_14_with_grace_period,1,0.33,510
couple,2011-03-21,a few days or more,40%,f,1.0,t,Barton Creek,Apartment,Entire home/apt,2,,1.0,1.0,Real Bed,$0.00,3,1125,14,40,70,250,179,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,1.87,95
female,2011-03-22,within an hour,100%,t,1.0,t,Highland,House,Private room,2,1.0,1.0,1.0,Real Bed,$7.00,2,14,15,45,70,340,160,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,1.76,45
male,2010-12-17,,,f,2.0,t,University of Texas,Condominium,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$20.00,2,30,0,0,0,0,16,93.0,9.0,10.0,10.0,10.0,10.0,9.0,t,moderate,2,0.88,45
female,2011-03-29,within a day,100%,f,1.0,t,Rosewood,House,Private room,2,1.0,1.0,1.0,Real Bed,$40.00,1,210,22,52,82,357,8,80.0,8.0,8.0,9.0,9.0,9.0,7.0,f,flexible,1,0.28,80
couple,2011-04-05,within an hour,100%,f,10.0,t,Wooten,House,Entire home/apt,8,2.0,4.0,6.0,Real Bed,$0.00,30,365,9,35,58,238,78,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,10,0.98,200
male,2010-09-16,within an hour,100%,f,1.0,t,Travis Heights,House,Entire home/apt,6,1.0,2.0,2.0,Real Bed,$40.00,2,365,11,32,60,303,57,96.0,10.0,9.0,10.0,10.0,10.0,9.0,f,moderate,1,0.6,110
male,2010-08-26,within an hour,100%,t,2.0,t,Zilker,Guesthouse,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$10.00,2,180,7,12,21,100,133,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,1.47,80
mostly_female,2011-04-28,within a few hours,100%,t,2.0,f,Travis Heights,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,$0.00,31,180,13,13,21,296,122,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,1.29,75
male,2011-05-11,within an hour,100%,t,9.0,t,Hyde Park,Bungalow,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$20.00,5,365,7,37,62,337,53,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,super_strict_30,9,0.61,120
couple,2011-05-11,within an hour,100%,t,2.0,t,Hyde Park,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,30,365,0,3,33,308,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,0.13,60
female,2011-03-02,a few days or more,40%,f,3.0,t,Downtown,House,Entire home/apt,5,2.0,2.0,2.0,Real Bed,$0.00,3,15,27,57,87,362,1,,,,,,,,t,flexible,3,0.01,385
couple,2011-05-27,within a few hours,100%,f,3.0,t,,House,Entire home/apt,6,2.0,3.0,5.0,Real Bed,$25.00,3,365,17,47,64,333,23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.25,295
male,2011-05-11,within an hour,100%,t,9.0,t,Hyde Park,Bungalow,Entire home/apt,4,1.0,2.0,3.0,Real Bed,$0.00,5,365,7,20,35,274,44,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,super_strict_30,9,0.49,135
male,2011-05-11,within an hour,100%,t,9.0,t,Hyde Park,Bungalow,Entire home/apt,2,1.0,1.0,2.0,Real Bed,$20.00,5,365,3,3,21,286,38,98.0,10.0,10.0,10.0,10.0,10.0,9.0,f,super_strict_30,9,0.42,120
unknown,2011-06-10,within an hour,100%,t,1.0,t,East Downtown,Guesthouse,Entire home/apt,3,1.0,0.0,1.0,Real Bed,$10.00,1,5,6,17,46,136,372,97.0,10.0,10.0,10.0,10.0,10.0,10.0,t,flexible,1,4.08,105
male,2011-03-31,within an hour,100%,t,1.0,f,University of Texas,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,3,365,6,16,33,291,163,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,2.13,130
female,2011-06-15,within an hour,100%,f,1.0,t,Upper Boggy Creek,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,28,365,0,0,22,297,19,91.0,9.0,8.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1,0.22,100
male,2011-06-24,within a few hours,100%,f,1.0,t,Barton Hills,House,Entire home/apt,8,2.0,4.0,4.0,Real Bed,$0.00,3,60,8,8,10,266,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.13,375
male,2011-02-01,within an hour,100%,f,3.0,t,,House,Entire home/apt,6,2.5,2.0,2.0,Real Bed,$25.00,90,830,0,0,0,124,33,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,moderate,3,0.37,105
female,2011-06-29,,,f,1.0,t,Barton Hills,House,Entire home/apt,8,3.0,4.0,6.0,Real Bed,$50.00,4,30,27,55,55,274,10,98.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1,0.12,700
company,2011-01-14,within a few hours,100%,f,2.0,f,Galindo,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$10.00,2,90,4,16,16,57,324,95.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,2,3.48,70
female,2011-05-26,within a day,100%,f,1.0,f,Rollingwood,Bungalow,Entire home/apt,8,3.0,4.0,6.0,Real Bed,$0.00,3,30,14,44,74,349,7,91.0,10.0,9.0,9.0,9.0,9.0,9.0,f,strict_14_with_grace_period,1,0.08,800
female,2011-06-26,,,f,1.0,t,Cherry Creek,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,$25.00,3,14,0,0,4,279,3,93.0,9.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.07,130
